,time,code,ampshift,fsl,onset,spkamp,pspamp,exptname,nspk
1211,164.73644499999997,T,-40.0,,,0.0,-0.0152587890625,20200718_010,0
1213,165.035755,T,-20.0,6.656656656656657,3.5035035035035036,11.3067626953125,11.3677978515625,20200718_010,0
1215,165.31274499999998,T,30.0,4.754754754754755,2.052052052052052,11.8255615234375,11.932373046875,20200718_010,0
1217,165.566455,T,10.0,5.055055055055055,2.1021021021021022,11.4898681640625,11.3677978515625,20200718_010,0
1219,165.85312499999998,T,5.0,5.105105105105106,2.2522522522522523,12.237548828125,12.115478515625,20200718_010,0
1221,166.132295,T,-30.0,7.907907907907909,4.954954954954956,7.110595703125,7.0953369140625,20200718_010,0
1223,166.413245,T,20.0,5.005005005005005,2.052052052052052,11.8865966796875,11.6424560546875,20200718_010,0
1225,166.73619499999998,T,40.0,4.504504504504505,2.052052052052052,11.1083984375,11.1541748046875,20200718_010,0
1227,166.986125,T,-5.0,5.655655655655655,2.552552552552553,12.115478515625,11.9781494140625,20200718_010,0
1229,167.17055499999998,T,-10.0,5.8558558558558556,2.9529529529529532,11.8255615234375,11.8560791015625,20200718_010,0
1231,167.398305,T,0.0,5.355355355355355,2.2522522522522523,11.8255615234375,11.810302734375,20200718_010,0
1239,168.449985,T,-40.0,,,0.0,-0.0762939453125,20200718_010,0
1241,168.75765499999997,T,-20.0,6.706706706706707,3.3533533533533535,11.2457275390625,11.322021484375,20200718_010,0
1243,168.91472499999998,T,30.0,4.554554554554555,2.052052052052052,11.2457275390625,11.4288330078125,20200718_010,0
1245,169.23097499999997,T,10.0,5.005005005005005,2.2022022022022023,12.1002197265625,12.02392578125,20200718_010,0
1247,169.50174499999997,T,5.0,4.954954954954956,2.402402402402403,11.8865966796875,11.962890625,20200718_010,0
1249,169.77307499999998,T,-30.0,7.6076076076076085,5.205205205205205,7.0343017578125,7.14111328125,20200718_010,0
1251,170.06210499999997,T,20.0,4.804804804804806,2.052052052052052,12.3291015625,12.298583984375,20200718_010,0
