,time,code,ampshift,fsl,onset,spkamp,pspamp,exptname,nspk
545,106.829625,T,10.0,6.206206206206207,3.7037037037037037,9.6588134765625,9.6282958984375,20200614_002_ampshift,0
547,107.19861499999999,T,-10.0,7.7577577577577586,5.455455455455456,4.0740966796875,4.364013671875,20200614_002_ampshift,0
549,107.55996499999999,T,0.0,6.856856856856857,4.404404404404405,7.1258544921875,7.0648193359375,20200614_002_ampshift,0
551,107.96881499999999,T,40.0,5.405405405405405,2.052052052052052,14.068603515625,14.0838623046875,20200614_002_ampshift,0
553,108.317225,T,-5.0,7.107107107107107,4.854854854854855,5.6304931640625,5.7525634765625,20200614_002_ampshift,0
555,108.65409499999998,T,-20.0,,,0.0,1.434326171875,20200614_002_ampshift,0
557,108.958745,T,5.0,6.306306306306307,4.104104104104104,9.063720703125,8.8043212890625,20200614_002_ampshift,0
559,109.16457499999999,T,-30.0,,,0.0,0.244140625,20200614_002_ampshift,0
561,109.33188499999999,T,20.0,5.655655655655655,3.3533533533533535,10.345458984375,10.31494140625,20200614_002_ampshift,0
569,110.434845,T,30.0,5.755755755755756,2.7527527527527527,12.4053955078125,12.39013671875,20200614_002_ampshift,0
