,time,code,ampshift,pspamp,exptname
1655,218.5978725,T,10.0,6.28662109375,20200719_005
1657,218.91222249999998,T,-10.0,4.730224609375,20200719_005
1659,219.2293125,T,20.0,6.1187744140625,20200719_005
1661,219.5376825,T,-20.0,2.3956298828125,20200719_005
1663,219.81631249999998,T,-40.0,-0.213623046875,20200719_005
1665,220.08368249999998,T,-5.0,5.37109375,20200719_005
1667,220.3771325,T,30.0,10.3912353515625,20200719_005
1669,220.66652249999999,T,40.0,8.9874267578125,20200719_005
1671,220.9469725,T,0.0,4.608154296875,20200719_005
1673,221.2123825,T,5.0,5.584716796875,20200719_005
1681,222.25818249999998,T,-30.0,1.373291015625,20200719_005
1683,222.52047249999998,T,10.0,6.77490234375,20200719_005
1685,222.7984225,T,-10.0,4.7454833984375,20200719_005
1687,223.09407249999998,T,20.0,6.195068359375,20200719_005
1689,223.3919225,T,-20.0,3.2501220703125,20200719_005
1691,223.67713249999997,T,-40.0,0.0762939453125,20200719_005
1693,223.9469025,T,-5.0,4.8980712890625,20200719_005
4322,529.3927024999999,T,-10.0,4.119873046875,20200712_000
4324,529.5731525,T,20.0,12.2528076171875,20200712_000
4326,529.7773424999999,T,40.0,12.8631591796875,20200712_000
4328,530.0544325,T,30.0,12.481689453125,20200712_000
4330,530.3249025,T,-5.0,5.67626953125,20200712_000
4332,530.5994125,T,5.0,12.1612548828125,20200712_000
4334,530.8747225,T,0.0,7.7972412109375,20200712_000
4336,531.1658924999999,T,-30.0,2.9296875,20200712_000
4338,531.4575024999999,T,10.0,12.0849609375,20200712_000
4340,531.6898924999999,T,-40.0,-0.1068115234375,20200712_000
4342,531.9677025,T,-20.0,3.5247802734375,20200712_000
4350,532.7897025,T,-10.0,4.57763671875,20200712_000
4352,533.0117525,T,20.0,12.8173828125,20200712_000
4354,533.2313025,T,40.0,13.1378173828125,20200712_000
4356,533.4979725,T,30.0,12.8326416015625,20200712_000
4358,533.7446225,T,-5.0,5.7373046875,20200712_000
4360,533.9219125,T,5.0,12.3443603515625,20200712_000
4362,534.1170024999999,T,0.0,7.1563720703125,20200712_000
4364,534.3856125,T,-30.0,2.86865234375,20200712_000
