,Unnamed: 0,exptname,current_inj,onset_peak,offset_peak
45,15.0,20190107_003,-20.76212501525879,-6.8206787109375,-7.0648193359375
46,16.0,20190107_003,-20.85367774963379,-7.31658935546875,-7.80487060546875
47,17.0,20190107_003,-20.24332618713379,-5.9967041015625,-5.4931640625
48,18.0,20190107_003,-21.04695701599121,-5.9661865234375,-6.1798095703125
49,19.0,20190107_003,-20.24332618713379,-6.3934326171875,-6.3018798828125
50,20.0,20190107_003,-20.82316017150879,-7.2021484375,-7.354736328125
51,21.0,20190107_003,-20.36539649963379,-5.92041015625,-4.5928955078125
52,22.0,20190107_003,-21.759033203125,-6.011962890625,-6.2255859375
53,23.0,20190107_003,-21.34195899963379,-6.1187744140625,-5.9967041015625
54,24.0,20190107_003,-20.95540428161621,-6.500244140625,-6.4849853515625
55,25.0,20190107_003,-21.484375,-5.8135986328125,-5.218505859375
56,26.0,20190107_003,-19.94832420349121,-6.0882568359375,-6.256103515625
57,27.0,20190107_003,-21.21988868713379,-6.8511962890625,-6.988525390625
58,28.0,20190107_003,-21.270751953125,-4.5013427734375,-5.340576171875
59,29.0,20190107_003,-20.06022071838379,-6.4849853515625,-6.2408447265625
60,30.0,20190107_003,-20.76212501525879,-7.415771484375,-7.62939453125
61,31.0,20190107_003,-20.73160743713379,-5.9661865234375,-6.317138671875
62,32.0,20190107_003,-18.99210548400879,-6.9427490234375,-7.14111328125
63,33.0,20190107_003,18.49365234375,7.232666015625,11.1846923828125
64,34.0,20190107_003,18.99210548400879,5.4473876953125,10.162353515625
65,35.0,20190107_003,19.61263084411621,10.6201171875,9.1552734375
66,36.0,20190107_003,19.83642578125,8.880615234375,6.7291259765625
67,37.0,20190107_003,18.45296287536621,10.2996826171875,7.293701171875
68,38.0,20190107_003,18.62589454650879,10.5438232421875,9.368896484375
69,39.0,20190107_003,18.96158790588379,5.43212890625,5.37109375
70,40.0,20190107_003,18.71744728088379,8.331298828125,6.2408447265625
71,41.0,20190107_003,18.768310546875,10.25390625,10.80322265625
72,42.0,20190107_003,18.4326171875,5.523681640625,5.55419921875
73,43.0,20190107_003,19.03279685974121,10.0250244140625,9.185791015625
74,44.0,20190107_003,18.61572265625,5.645751953125,5.5084228515625
75,45.0,20190107_003,18.50382423400879,5.5389404296875,5.340576171875
76,46.0,20190107_003,19.378662109375,5.3253173828125,5.43212890625
77,47.0,20190107_003,19.05314064025879,5.2947998046875,5.279541015625
78,48.0,20190107_003,27.618408203125,7.2479248046875,7.049560546875
79,49.0,20190107_003,28.13720703125,8.7432861328125,9.2620849609375
80,50.0,20190107_003,29.40877342224121,7.9498291015625,7.87353515625
81,51.0,20190107_003,27.7099609375,8.9111328125,8.4991455078125
82,52.0,20190107_003,27.85237693786621,7.843017578125,7.7362060546875
83,53.0,20190107_003,28.43221092224121,8.758544921875,8.5601806640625
84,54.0,20190107_003,27.99479103088379,7.2784423828125,6.7901611328125
85,55.0,20190107_003,37.11954879760742,11.077880859375,11.1846923828125
86,56.0,20190107_003,38.03507614135742,15.350341796875,15.0604248046875
87,57.0,20190107_003,38.299560546875,10.9405517578125,10.8795166015625
88,58.0,20190107_003,37.39420700073242,10.6658935546875,10.711669921875
89,59.0,20190107_003,37.69938278198242,10.8795166015625,11.0321044921875
