,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
76,16.3165625,T,20.0,4.464882943143812,5.157470703125,7.37458193979933,5.7220458984375,,,,,20200621,20200621_001
77,16.513872499999998,T,0.0,6.7224080267558515,5.8135986328125,,,,,,,20200621,20200621_001
78,16.7181625,T,40.0,3.6622073578595313,4.547119140625,5.6187290969899655,4.7607421875,8.729096989966555,5.7830810546875,,,20200621,20200621_001
79,16.9606525,T,-20.0,,,,,,,,,20200621,20200621_001
80,17.1812825,T,-10.0,10.284280936454849,6.1187744140625,,,,,,,20200621,20200621_001
81,17.3985725,T,10.0,5.2675585284280935,5.3253173828125,,,,,,,20200621,20200621_001
82,17.597602499999997,T,30.0,4.063545150501672,4.638671875,6.321070234113712,5.0201416015625,,,,,20200621,20200621_001
83,17.8532525,T,-30.0,,,,,,,,,20200621,20200621_001
84,18.0619625,T,-5.0,7.37458193979933,5.859375,,,,,,,20200621,20200621_001
88,18.9086625,T,-40.0,,,,,,,,,20200621,20200621_001
89,19.105652499999998,T,5.0,5.719063545150501,5.2947998046875,,,,,,,20200621,20200621_001
90,19.408782499999997,T,20.0,4.464882943143812,4.7454833984375,7.725752508361204,5.3253173828125,,,,,20200621,20200621_001
91,19.6134125,T,-0.0,6.521739130434782,5.6304931640625,,,,,,,20200621,20200621_001
92,19.8895825,T,40.0,3.712374581939799,4.058837890625,5.568561872909698,4.3487548828125,8.779264214046822,5.279541015625,,,20200621,20200621_001
112,15.223734999999998,T,40.0,3.260869565217391,11.65771484375,5.217391304347825,12.14599609375,,,,,20200621,20200621_002
114,15.504064999999999,T,-30.0,,,,,,,,,20200621,20200621_002
116,15.686874999999999,T,-40.0,,,,,,,,,20200621,20200621_002
118,15.876624999999999,T,-20.0,,,,,,,,,20200621,20200621_002
120,16.069415,T,-5.0,7.525083612040133,12.1307373046875,,,,,,,20200621,20200621_002
122,16.292465,T,10.0,4.916387959866221,11.3067626953125,,,,,,,20200621,20200621_002
124,16.502215,T,20.0,4.013377926421405,10.4522705078125,6.321070234113712,10.31494140625,,,,,20200621,20200621_002
126,16.708025,T,-0.0,5.919732441471572,11.962890625,,,,,,,20200621,20200621_002
128,16.925214999999998,T,30.0,3.5618729096989963,11.0321044921875,5.468227424749164,11.3677978515625,,,,,20200621,20200621_002
