,time,code,ampshift,fsl,onset,spkamp,exptname
325,42.790837499999995,T,30.0,2.541694462975317,2.021347565043362,26.336669921875,20200531_005
328,43.18559749999999,T,-5.0,3.0820547031354235,2.6017344896597727,27.16064453125,20200531_005
331,43.5803575,T,0.0,2.961974649766511,2.5016677785190127,27.3284912109375,20200531_005
334,43.975137499999995,T,5.0,2.8418945963975983,2.2815210140093396,28.1524658203125,20200531_005
337,44.369877499999994,T,-30.0,5.083388925950634,4.402935290193462,28.6865234375,20200531_005
340,44.7646375,T,20.0,2.6417611741160774,2.141427618412275,27.83203125,20200531_005
343,45.1593975,T,40.0,2.5016677785190127,2.021347565043362,27.9541015625,20200531_005
346,45.554157499999995,T,-10.0,3.3222148098732487,2.76184122748499,28.62548828125,20200531_005
349,45.94893749999999,T,-40.0,8.405603735823883,7.164776517678452,5.67626953125,20200531_005
352,46.3436975,T,10.0,2.76184122748499,2.2214809873248833,28.80859375,20200531_005
363,47.725357499999994,T,-20.0,3.8825883922615074,3.3222148098732487,29.4647216796875,20200531_005
366,48.1201375,T,30.0,2.561707805203469,2.0613742494996665,29.3731689453125,20200531_005
370,48.5148775,T,-5.0,3.1220813875917277,2.541694462975317,28.289794921875,20200531_005
372,48.909637499999995,T,-0.0,2.981987991994663,2.5016677785190127,28.74755859375,20200531_005
375,49.30439749999999,T,5.0,2.8819212808539025,2.2615076717811875,29.022216796875,20200531_005
378,49.6991575,T,-30.0,4.923282188125416,4.342895263509005,29.266357421875,20200531_005
381,50.093937499999996,T,20.0,2.6417611741160774,2.1014009339559707,29.266357421875,20200531_005
384,50.488677499999994,T,40.0,2.5016677785190127,2.021347565043362,29.693603515625,20200531_005
387,50.88343749999999,T,-10.0,3.3022014676450966,2.8819212808539025,29.9072265625,20200531_005
390,51.278237499999996,T,-40.0,7.565043362241494,6.324216144096064,30.1361083984375,20200531_005
393,51.672957499999995,T,10.0,2.781854569713142,2.241494329553035,29.60205078125,20200531_005
404,53.0546375,T,-20.0,3.762508338892595,3.3022014676450966,28.4576416015625,20200531_005
407,53.4493775,T,30.0,2.561707805203469,2.021347565043362,27.008056640625,20200531_005
410,53.844157499999994,T,-5.0,3.1020680453635756,2.581721147431621,25.81787109375,20200531_005
413,54.2389375,T,0.0,2.961974649766511,2.4216144096064043,25.1922607421875,20200531_005
416,54.6336775,T,5.0,2.8819212808539025,2.3815877251500996,24.993896484375,20200531_005
419,55.028437499999995,T,-30.0,4.803202134756504,4.302868579052701,25.3448486328125,20200531_005
422,55.42323749999999,T,20.0,2.6217478318879253,2.0413609072715144,24.2462158203125,20200531_005
425,55.8179775,T,40.0,2.5216811207471648,2.021347565043362,23.895263671875,20200531_005
428,56.212737499999996,T,-10.0,3.2621747831887924,2.7218145430286858,23.74267578125,20200531_005
431,56.607497499999994,T,-40.0,,,0.0,20200531_005
434,57.00225749999999,T,10.0,2.741827885256838,2.2815210140093396,23.49853515625,20200531_005
445,58.383937499999995,T,-20.0,3.8025350233488995,3.2821881254169445,23.49853515625,20200531_005
447,58.77869749999999,T,30.0,2.541694462975317,2.0613742494996665,22.4609375,20200531_005
450,59.1734575,T,-5.0,3.1220813875917277,2.6217478318879253,22.1405029296875,20200531_005
453,59.568237499999995,T,0.0,2.941961307538359,2.4216144096064043,21.8963623046875,20200531_005
456,59.96299749999999,T,5.0,2.8418945963975983,2.321547698465644,21.7132568359375,20200531_005
459,60.3577575,T,-30.0,4.963308872581721,4.38292194796531,21.942138671875,20200531_005
462,60.752537499999995,T,20.0,2.6217478318879253,2.0413609072715144,20.9503173828125,20200531_005
465,61.147277499999994,T,40.0,2.4816544362908606,2.0413609072715144,20.9503173828125,20200531_005
468,61.54203749999999,T,-10.0,3.3022014676450966,2.801867911941294,21.697998046875,20200531_005
470,61.936837499999996,T,-40.0,7.4849899933288855,7.024683122081387,20.3399658203125,20200531_005
473,62.331577499999995,T,10.0,2.76184122748499,2.141427618412275,21.8048095703125,20200531_005
484,63.7132575,T,-20.0,3.8425617078052032,3.362241494329553,21.8353271484375,20200531_005
487,64.1080375,T,30.0,2.541694462975317,2.1014009339559707,21.54541015625,20200531_005
490,64.5027775,T,-5.0,3.1020680453635756,2.581721147431621,21.5301513671875,20200531_005
493,64.89755749999999,T,-0.0,2.961974649766511,2.461641094062708,21.453857421875,20200531_005
496,65.29233749999999,T,5.0,2.8218812541694462,2.2214809873248833,21.148681640625,20200531_005
499,65.6870775,T,-30.0,4.743162108072048,4.362908605737158,21.636962890625,20200531_005
502,66.08183749999999,T,20.0,2.6217478318879253,2.1614409606404266,20.4010009765625,20200531_005
504,66.4766375,T,40.0,2.4816544362908606,2.021347565043362,20.111083984375,20200531_005
507,66.8713775,T,-10.0,3.342228152101401,2.801867911941294,20.8740234375,20200531_005
510,67.2661375,T,-40.0,8.825883922615075,7.044696464309539,21.392822265625,20200531_005
513,67.66093749999999,T,10.0,2.76184122748499,2.181454302868579,20.4925537109375,20200531_005
523,69.0425775,T,-20.0,3.8625750500333553,3.3222148098732487,20.7977294921875,20200531_005
526,69.43735749999999,T,30.0,2.5216811207471648,2.0613742494996665,20.1263427734375,20200531_005
