,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
672,137.0760925,T,-0.0,4.883138564273789,63.232421875,,,,,,,20200129,20200129_008
674,137.4699125,T,-40.0,,,,,,,,,20200129,20200129_008
676,137.86375249999998,T,-5.0,5.459098497495826,63.751220703125,,,,,,,20200129,20200129_008
678,138.2575925,T,10.0,4.307178631051753,63.9495849609375,6.235392320534223,48.583984375,,,,,20200129,20200129_008
680,138.6514125,T,40.0,2.9298831385642736,63.04931640625,4.282136894824708,42.3126220703125,6.0851419031719525,37.7655029296875,,,20200129,20200129_008
682,139.04525249999998,T,20.0,3.6310517529215356,63.4918212890625,5.083472454090151,44.49462890625,,,,,20200129,20200129_008
684,139.4390925,T,-10.0,7.7128547579298825,62.774658203125,,,,,,,20200129,20200129_008
686,139.8329325,T,-20.0,,,,,,,,,20200129,20200129_008
688,140.22675249999998,T,30.0,3.230383973288814,63.3544921875,4.607679465776293,43.4722900390625,,,,,20200129,20200129_008
690,140.6205925,T,5.0,4.6828046744574285,63.8275146484375,,,,,,,20200129,20200129_008
697,141.9990325,T,-30.0,,,,,,,,,20200129,20200129_008
699,142.39285249999998,T,0.0,5.133555926544241,62.6678466796875,,,,,,,20200129,20200129_008
701,142.7866925,T,-40.0,,,,,,,,,20200129,20200129_008
703,143.180535,T,-5.0,5.3338898163606006,62.07275390625,,,,,,,20200129,20200129_008
705,143.5743925,T,10.0,4.207011686143573,61.798095703125,5.959933222036727,45.9442138671875,,,,,20200129,20200129_008
707,143.9682125,T,40.0,2.9048414023372287,62.07275390625,4.257095158597663,42.4652099609375,6.060100166944908,37.4755859375,,,20200129,20200129_008
709,144.3620325,T,20.0,3.6060100166944906,62.3016357421875,5.083472454090151,43.5028076171875,,,,,20200129,20200129_008
711,144.7558925,T,-10.0,6.686143572621035,62.3931884765625,,,,,,,20200129,20200129_008
713,145.1497125,T,-20.0,,,,,,,,,20200129,20200129_008
715,145.54355249999998,T,30.0,3.2053422370617692,61.798095703125,4.607679465776293,41.9769287109375,,,,,20200129,20200129_008
717,145.9374125,T,5.0,4.457429048414023,61.614990234375,7.086811352253756,47.760009765625,,,,,20200129,20200129_008
724,147.3158125,T,-30.0,,,,,,,,,20200129,20200129_008
726,147.70965249999998,T,0.0,4.858096828046744,61.4471435546875,,,,,,,20200129,20200129_008
728,148.1034925,T,-40.0,,,,,,,,,20200129,20200129_008
730,148.4973325,T,-5.0,5.834724540901502,61.2640380859375,,,,,,,20200129,20200129_008
732,148.89117249999998,T,10.0,4.232053422370617,60.60791015625,6.110183639398998,44.61669921875,,,,,20200129,20200129_008
734,149.2850125,T,40.0,2.9298831385642736,60.3179931640625,4.307178631051753,41.1224365234375,6.110183639398998,36.3616943359375,,,20200129,20200129_008
736,149.6788325,T,20.0,3.5559265442404007,60.2874755859375,5.033388981636059,42.8619384765625,,,,,20200129,20200129_008
738,150.0726925,T,-10.0,6.310517529215359,60.5010986328125,,,,,,,20200129,20200129_008
740,150.4665125,T,-20.0,,,,,,,,,20200129,20200129_008
742,150.86035249999998,T,30.0,3.1552587646076793,59.7991943359375,4.557595993322203,40.3289794921875,,,,,20200129,20200129_008
744,151.2541925,T,5.0,4.757929883138564,59.967041015625,,,,,,,20200129,20200129_008
61,14.115487499999999,T,20.0,4.056761268781302,62.9119873046875,6.811352253756261,59.600830078125,,,,,20200129,20200129_009
63,14.5093275,T,10.0,,,,,,,,,20200129,20200129_009
65,14.903167499999999,T,-30.0,,,,,,,,,20200129,20200129_009
67,15.296987499999998,T,30.0,3.6310517529215356,63.1866455078125,5.283806343906511,55.0537109375,,,,,20200129,20200129_009
69,15.6908275,T,5.0,5.3338898163606006,62.744140625,,,,,,,20200129,20200129_009
71,16.0846675,T,0.0,,,,,,,,,20200129,20200129_009
73,16.4785075,T,-40.0,,,,,,,,,20200129,20200129_009
75,16.872327499999997,T,40.0,3.731218697829716,62.9730224609375,5.7095158597662765,56.7169189453125,,,,,20200129,20200129_009
77,17.266167499999998,T,-10.0,,,,,,,,,20200129,20200129_009
79,17.6600075,T,-20.0,,,,,,,,,20200129,20200129_009
81,18.0538675,T,-5.0,6.435726210350584,63.385009765625,,,,,,,20200129,20200129_009
88,19.432287499999997,T,20.0,9.365609348914857,62.744140625,,,,,,,20200129,20200129_009
90,19.8261075,T,10.0,7.086811352253756,62.7288818359375,,,,,,,20200129,20200129_009
92,20.2199475,T,-30.0,,,,,,,,,20200129,20200129_009
94,20.613787499999997,T,30.0,4.532554257095158,62.56103515625,,,,,,,20200129,20200129_009
96,21.0076075,T,5.0,6.460767946577628,62.2406005859375,,,,,,,20200129,20200129_009
98,21.4014675,T,0.0,,,,,,,,,20200129,20200129_009
100,21.795287499999997,T,-40.0,,,,,,,,,20200129,20200129_009
102,22.189127499999998,T,40.0,3.4557595993322203,61.7523193359375,5.459098497495826,55.450439453125,,,,,20200129,20200129_009
104,22.5829675,T,-10.0,,,,,,,,,20200129,20200129_009
106,22.976787499999997,T,-20.0,,,,,,,,,20200129,20200129_009
108,23.370627499999998,T,-5.0,8.614357262103505,61.4776611328125,,,,,,,20200129,20200129_009
115,24.7490675,T,20.0,5.534223706176961,60.8367919921875,,,,,,,20200129,20200129_009
117,25.142887499999997,T,10.0,7.612687813021702,60.8062744140625,,,,,,,20200129,20200129_009
119,25.536727499999998,T,-30.0,,,,,,,,,20200129,20200129_009
121,25.9305675,T,30.0,3.4808013355592653,60.4248046875,5.383973288814691,53.40576171875,,,,,20200129,20200129_009
123,26.324387499999997,T,5.0,,,,,,,,,20200129,20200129_009
125,26.718227499999998,T,0.0,,,,,,,,,20200129,20200129_009
127,27.1120675,T,-40.0,,,,,,,,,20200129,20200129_009
129,27.505887499999996,T,40.0,3.756260434056761,60.150146484375,5.559265442404007,52.5970458984375,,,,,20200129,20200129_009
131,27.899727499999997,T,-10.0,,,,,,,,,20200129,20200129_009
133,28.293587499999997,T,-20.0,,,,,,,,,20200129,20200129_009
135,28.6874075,T,-5.0,5.484140233722871,60.48583984375,,,,,,,20200129,20200129_009
142,30.065827499999997,T,20.0,4.958263772954925,60.516357421875,,,,,,,20200129,20200129_009
144,30.459687499999998,T,10.0,5.7095158597662765,60.638427734375,,,,,,,20200129,20200129_009
146,30.853507499999996,T,-30.0,,,,,,,,,20200129,20200129_009
148,31.247327499999997,T,30.0,3.806343906510851,60.0433349609375,6.535893155258765,56.2591552734375,,,,,20200129,20200129_009
150,31.641167499999998,T,5.0,5.684474123539232,60.6842041015625,,,,,,,20200129,20200129_009
152,32.0350075,T,-0.0,,,,,,,,,20200129,20200129_009
154,32.428867499999996,T,-40.0,,,,,,,,,20200129,20200129_009
156,32.822667499999994,T,40.0,3.5809682804674456,60.272216796875,5.283806343906511,52.2308349609375,,,,,20200129,20200129_009
158,33.2165075,T,-10.0,,,,,,,,,20200129,20200129_009
160,33.610367499999995,T,-20.0,,,,,,,,,20200129,20200129_009
162,34.0041875,T,-5.0,,,,,,,,,20200129,20200129_009
169,35.3826075,T,20.0,5.434056761268781,60.2874755859375,,,,,,,20200129,20200129_009
171,35.7764275,T,10.0,4.883138564273789,60.028076171875,,,,,,,20200129,20200129_009
173,36.170267499999994,T,-30.0,,,,,,,,,20200129,20200129_009
175,36.5641075,T,30.0,5.083472454090151,61.3555908203125,,,,,,,20200129,20200129_009
177,36.957947499999996,T,5.0,,,,,,,,,20200129,20200129_009
179,37.351767499999994,T,0.0,,,,,,,,,20200129,20200129_009
181,37.7456075,T,-40.0,,,,,,,,,20200129,20200129_009
183,38.139467499999995,T,40.0,3.806343906510851,60.028076171875,5.559265442404007,52.8411865234375,,,,,20200129,20200129_009
185,38.533267499999994,T,-10.0,,,,,,,,,20200129,20200129_009
187,38.9271075,T,-20.0,,,,,,,,,20200129,20200129_009
189,39.320967499999995,T,-5.0,,,,,,,,,20200129,20200129_009
196,40.69938749999999,T,20.0,,,,,,,,,20200129,20200129_009
198,41.0932075,T,10.0,6.160267111853088,59.99755859375,,,,,,,20200129,20200129_009
200,41.487047499999996,T,-30.0,,,,,,,,,20200129,20200129_009
202,41.880867499999994,T,30.0,4.131886477462437,59.7991943359375,,,,,,,20200129,20200129_009
204,42.2747075,T,5.0,,,,,,,,,20200129,20200129_009
