,time,code,ampshift,fsl,onset,spkamp,exptname,animalID
820,131.484085,T,40.0,2.7218145430286858,1.0206804536357572,12.3748779296875,20200531_000,20200531
824,132.17352499999998,T,20.0,3.3222148098732487,2.8218812541694462,12.3291015625,20200531_000,20200531
828,132.90382499999998,T,-30.0,8.245496997998666,7.4849899933288855,11.444091796875,20200531_000,20200531
832,133.56228499999997,T,10.0,3.6624416277518343,1.2608405603735824,12.1612548828125,20200531_000,20200531
836,134.26638499999999,T,-10.0,5.183455637091394,4.302868579052701,11.444091796875,20200531_000,20200531
840,134.997585,T,0.0,4.202801867911941,3.6424282855236823,11.3677978515625,20200531_000,20200531
844,135.750185,T,30.0,3.022014676450967,1.2208138759172782,12.02392578125,20200531_000,20200531
848,136.447265,T,-5.0,4.442961974649767,3.9826551034022684,11.8865966796875,20200531_000,20200531
852,137.14702499999999,T,5.0,3.8425617078052032,3.422281521014009,11.7645263671875,20200531_000,20200531
866,139.424205,T,-20.0,8.485657104736491,5.203468979319545,9.7808837890625,20200531_000,20200531
870,140.086785,T,-40.0,,,0.0,20200531_000,20200531
874,140.75148499999997,T,40.0,2.7218145430286858,1.0206804536357572,12.054443359375,20200531_000,20200531
878,141.427845,T,20.0,3.2821881254169445,2.8619079386257504,11.65771484375,20200531_000,20200531
882,142.08566499999998,T,-30.0,6.404269513008672,5.983989326217478,10.19287109375,20200531_000,20200531
886,142.73898499999999,T,10.0,3.582388258839226,3.14209472981988,11.2762451171875,20200531_000,20200531
890,143.486685,T,-10.0,4.803202134756504,4.262841894596398,11.1236572265625,20200531_000,20200531
894,144.18424499999998,T,0.0,4.28285523682455,3.7024683122081385,10.7879638671875,20200531_000,20200531
898,144.906985,T,30.0,2.981987991994663,2.6217478318879253,11.3525390625,20200531_000,20200531
902,145.612645,T,-5.0,4.523015343562375,4.00266844563042,11.0931396484375,20200531_000,20200531
906,146.36986499999998,T,5.0,4.00266844563042,3.4422948632421613,10.80322265625,20200531_000,20200531
920,149.00572499999998,T,-20.0,5.863909272848566,5.203468979319545,10.162353515625,20200531_000,20200531
924,149.666925,T,-40.0,,,0.0,20200531_000,20200531
928,150.441745,T,40.0,2.76184122748499,2.321547698465644,10.955810546875,20200531_000,20200531
932,151.146685,T,20.0,3.2621747831887924,2.9219479653102067,11.138916015625,20200531_000,20200531
936,151.80882499999998,T,-30.0,7.24482988659106,6.844563042028018,9.8724365234375,20200531_000,20200531
940,152.547745,T,10.0,3.6624416277518343,3.182121414276184,10.833740234375,20200531_000,20200531
944,153.24148499999998,T,-10.0,4.883255503669113,4.2228152101400935,10.2996826171875,20200531_000,20200531
948,153.984065,T,0.0,4.242828552368246,3.722481654436291,9.8876953125,20200531_000,20200531
952,154.660465,T,30.0,3.0620413609072714,2.561707805203469,10.6964111328125,20200531_000,20200531
956,155.392145,T,-5.0,4.583055370246831,4.062708472314877,9.7503662109375,20200531_000,20200531
960,156.06930499999999,T,5.0,3.8625750500333553,3.382254836557705,10.3759765625,20200531_000,20200531
974,158.599145,T,-20.0,6.724482988659106,6.364242828552368,9.3841552734375,20200531_000,20200531
978,159.271945,T,-40.0,,,0.0,20200531_000,20200531
982,159.98734499999998,T,40.0,2.76184122748499,2.341561040693796,10.040283203125,20200531_000,20200531
986,160.72732499999998,T,20.0,3.3022014676450966,2.9219479653102067,10.3759765625,20200531_000,20200531
990,161.48862499999998,T,-30.0,6.624416277518345,6.124082721814543,8.97216796875,20200531_000,20200531
994,162.28446499999998,T,10.0,3.62241494329553,3.2421614409606403,9.674072265625,20200531_000,20200531
998,163.002725,T,-10.0,4.983322214809873,4.503002001334223,9.3536376953125,20200531_000,20200531
1002,163.692525,T,0.0,4.262841894596398,3.6824549699799864,9.1552734375,20200531_000,20200531
1007,164.36496499999998,T,30.0,2.961974649766511,2.6417611741160774,9.6282958984375,20200531_000,20200531
654,84.3117925,T,-20.0,,,0.0,20200531_001,20200531
658,84.6529525,T,0.0,6.00400266844563,4.903268845897264,49.835205078125,20200531_001,20200531
662,84.9879325,T,-30.0,,,0.0,20200531_001,20200531
666,85.34109249999999,T,-40.0,,,0.0,20200531_001,20200531
670,85.7474525,T,30.0,4.322881921280853,1.0206804536357572,51.9866943359375,20200531_001,20200531
674,86.1652525,T,20.0,4.763175450300199,3.422281521014009,52.6885986328125,20200531_001,20200531
678,86.59083249999999,T,-10.0,7.62508338892595,4.723148765843896,53.4210205078125,20200531_001,20200531
682,86.98265249999999,T,40.0,4.022681787858572,1.4809873248832555,53.985595703125,20200531_001,20200531
686,87.31615249999999,T,5.0,5.923949299533022,4.1827885256837884,55.3741455078125,20200531_001,20200531
